name,abbreviation,staff_tests,staff_tests_with_multiples,total_staff_cases,staff_recovered,total_staff_deaths,prisoner_tests,prisoner_tests_with_multiples,total_prisoner_cases,prisoners_recovered,total_prisoner_deaths,as_of_date,notes
Illinois,IL,,,3,,0,13,,3,,0,3/25/20,
Illinois,IL,,,25,,0,239,,52,,1,4/1/20,
Illinois,IL,,,79,,,,,112,,2,4/8/20,
Illinois,IL,,,124,,0,,,146,,8,4/16/20,
Illinois,IL,,,139,,0,,,148,,10,4/22/20,
Illinois,IL,,,149,,0,,,155,,10,4/29/20,
Illinois,IL,,,157,,0,600,,176,,12,5/6/20,
Illinois,IL,,,160,,0,,,192,,12,5/14/20,
Illinois,IL,,,166,,0,600,,204,,12,5/20/20,
Illinois,IL,,,172,142,0,650,,215,185,13,5/28/20,
Illinois,IL,,,175,152,0,750,,221,196,13,6/2/20,
Illinois,IL,,,178,160,0,900,,231,213,13,6/9/20,
Illinois,IL,,,179,164,0,263,,263,218,13,6/16/20,
Illinois,IL,,,187,167,0,900,,274,225,13,6/23/20,
Illinois,IL,,,195,170,0,1000,,322,235,13,6/30/20,
Illinois,IL,,,203,174,0,1100,,337,263,13,7/7/20,
Illinois,IL,,,214,180,0,1600,,337,278,13,7/14/20,
Illinois,IL,,,237,198,0,1800,,343,307,13,7/21/20,
Illinois,IL,,,267,210,0,2185,,360,332,13,7/28/20,
Illinois,IL,,,289,232,0,2400,,373,335,13,8/4/20,
Illinois,IL,,,335,252,0,2500,,532,353,13,8/11/20,
Illinois,IL,,,389,289,0,4000,,662,395,14,8/18/20,
Illinois,IL,,,457,334,,,,774,491,,8/25/20,
Illinois,IL,,,534,398,0,6800,,912,607,14,9/1/20,
Illinois,IL,,,598,453,0,8000,,1240,691,14,9/8/20,
Illinois,IL,,,672,539,0,8700,,1356,893,14,9/15/20,
Illinois,IL,,,753,619,0,9200,,1615,1092,17,9/22/20,
Illinois,IL,,,836,691,0,10000,,1783,1270,22,9/29/20,
Illinois,IL,,,880,762,0,,,1846,1427,,10/6/20,
Illinois,IL,,,929,819,0,11700,,1989,1647,25,10/13/20,
Illinois,IL,,,1041,889,0,12650,,2110,1781,27,10/20/20,
Illinois,IL,,,1152,965,0,13200,,2300,1907,29,10/27/20,
Illinois,IL,,,1315,1058,0,13400,,2598,2081,31,11/4/20,
Illinois,IL,2300,,1638,1193,1,14000,,3008,2296,34,11/10/20,
Illinois,IL,,,1974,1414,1,,,3347,2549,36,11/17/20,
Illinois,IL,5892,,2247,1735,1,16562,,3960,2770,41,11/24/20,
Illinois,IL,8728,,2485,2041,1,19275,,4530,3288,45,12/1/20,
Illinois,IL,,10859,2758,2319,1,,24644,5219,3901,50,12/8/20,
Illinois,IL,,,3002,2579,,,,5890,4607,,12/15/20,
Illinois,IL,,18683,3230,2825,1,,37676,6921,5178,50,12/22/20,
Illinois,IL,,24209,3404,3076,1,,50338,7552,5880,65,12/29/20,
Illinois,IL,,30782,3532,3283,1,,74923,8828,6930,70,1/5/21,
Illinois,IL,,39154,3703,3451,,,112223,9561,7757,,1/12/21,
Illinois,IL,,47134,3807,3576,1,,135368,9973,8959,80,1/19/21,
Illinois,IL,,60577,3902,3732,1,,187630,10197,9533,84,1/26/21,
